Course,Term,Title,Instructor
ECE-464,2018-fa,Power Electronics,"Banerjee, Arijit"
ECE-469,2018-fa,Power Electronics Laboratory,"Banerjee, Arijit"
ECE-468,2018-sp,Optical Remote Sensing,"Waldrop, Lara"
CS-563,2018-fa,Advanced Computer Security,"Bates, Adam M"
CS-565,2017-sp,Human-Computer Interaction,"Bailey, Brian P"
ECE-220,2018-fa,Computer Systems & Programming,"Chen, Yuting W"
CS-241,2018-fa,System Programming,"Angrave, Lawrence C"
CS-242,2018-fa,Programming Studio,"Woodley, Michael J"
ECE-549,2018-sp,Computer Vision,"Lazebnik, Svetlana"
CS-512,2018-sp,Data Mining Principles,"Han, Jiawei"
CS-373,2014-sp,Theory of Computation,"Meseguer, Jose"
ECE-470,2018-fa,Introduction to Robotics,"Belabbas, Mohamed Ali"
ECE-473,2017-fa,Fund of Engrg Acoustics,"Oelze, Michael L"
CS-498,2018-fa,Digital Forensics,"Campbell, R H"
ECE-476,2018-fa,Power System Analysis,"Dominguez-Garci, Alejandr"
CS-494,2016-sp,Senior Project II,"Woodley, Michael J"
CS-492,2018-sp,Senior Project I,"Woodley, Michael J"
CS-493,2017-sp,"Senior Project II, ACP","Woodley, Michael J"
ECE-361,2017-sp,Digital Communications,"Alvarez, Juan"
ECE-199,2018-fa,Undergraduate Open Seminar,"Varodayan, David"
ECE-198,2014-fa,Introduction to Computer Eng,"Kindratenko, Volodymyr"
CS-420,2017-fa,Parallel Progrmg: Sci & Engrg,"Snir, Marc"
ECE-569,2014-fa,Inverse Problems in Optics,"Carney, Paul S"
CS-477,2018-sp,Formal Software Devel Methods,"Gunter, Elsa"
ECE-598,2018-fa,2D Material Electr & Photonics,"Zhu, Wenjuan"
CS-473,2018-fa,Algorithms,"Har-Peled, Sariel"
ECE-110,2018-fa,Introduction to Electronics,"Schmitz, Christopher"
ECE-206,2018-fa,Electrical & Electronics Lab,"Radhakrishnan, Chandrasek"
ECE-205,2018-fa,Electrical & Electronic Ckts,"Radhakrishnan, Chandrasek"
CS-574,2014-sp,Randomized Algorithms,"Har-Peled, Sariel"
CS-573,2013-fa,Algorithms,"Har-Peled, Sariel"
CS-361,2018-fa,Prob & Stat for Computer Sci,"Varodayan, David"
CS-546,2018-sp,Machine Learning in NLP,"Hockenmaier, Julia C"
CS-423,2018-sp,Operating Systems Design,"Bates, Adam M"
ECE-101,2013-sp,Exploring Digital Info Technol,"Schmitz, Christopher"
ECE-566,2018-fa,Computational Inference,"Moulin, Pierre"
ECE-564,2015-sp,Modern Light Microscopy,"Popescu, Gabriel"
ECE-563,2018-fa,Information Theory,"Varshney, Lav R"
ECE-561,2014-sp,Detection & Estimation Theory,"Veeravalli, Venugopal V"
ECE-445,2018-fa,Senior Design Project Lab,"Fliflet, Arne W"
ECE-444,2018-fa,IC Device Theory & Fabrication,"Li, Xiuling"
ECE-447,2016-fa,Active Microwave Ckt Design,"Gong, Songbin"
ECE-441,2018-sp,Physcs & Modeling Semicond Dev,"Zhu, Wenjuan"
ECE-440,2011-sp,Solid State Electronic Devices,"Liu, Gang L"
ECE-443,2010-fa,Electronic Circuits Laboratory,"Zhang, Jianhua"
CS-484,2018-fa,Parallel Programming,"Kale, Laxmikant V"
CS-173,2018-fa,Discrete Structures,"Warnow, Tandy"
ECE-425,2017-fa,Intro to VLSI System Design,"Kindratenko, Volodymyr"
ECE-442,2011-sp,Electronic Circuits,"Rosenbaum, Elyse"
ECE-350,2018-sp,Fields and Waves II,"Gong, Songbin"
ECE-420,2018-sp,Embedded DSP Laboratory,"Levinson, Stephen E"
CS-465,2018-fa,User Interface Design,"Bailey, Brian P"
ECE-311,2018-fa,Digital Signal Processing Lab,"Bresler, Yoram"
CS-467,2016-sp,Social Visualization,"Karahalios, Kyratso G"
CS-466,2018-fa,Introduction to Bioinformatics,"El-Kebir, Mohammed"
CS-461,2018-fa,Computer Security I,"Cunningham, Ryan M"
CS-460,2018-sp,Security Laboratory,"Bambenek, John C"
CS-463,2018-sp,Computer Security II,"Gunter, Carl"
ECE-581,2018-fa,Advanced Analog IC Design,"Hanumolu, Pavan Kumar"
ECE-580,2013-fa,Optimiz by Vector Space Methds,"Srikant, Rayadurgam"
CS-374,2018-fa,Intro to Algs & Models of Comp,"Chekuri, Chandra S"
ECE-210,2018-fa,Analog Signal Processing,"Alvarez, Juan"
CS-225,2018-fa,Data Structures,"Fagen-Ulmschnei, Wade A"
ECE-586,2017-fa,"MDPs, Reinforcement Learning","Srikant, Rayadurgam"
ECE-290,2014-sp,Computer Engineering I,"Brown, Donna J"
ECE-298,2017-fa,Concepts in Engineering Math,"Allen, Jont"
ECE-314,2018-fa,Probability in Engineering Lab,"Hajek, Bruce"
ECE-511,2016-fa,Computer Architecture,"Kim, Nam Sung"
ECE-459,2016-fa,Communications Systems,"Alvarez, Juan"
ECE-517,2018-fa,Nonlinear & Adaptive Control,"Liberzon, Daniel M"
CS-548,2018-fa,Models of Cognitive Processes,"Fu, Wai-Tat"
ECE-515,2018-fa,Control System Theory & Design,"Baryshnikov, Yuliy"
ECE-452,2014-fa,Electromagnetic Fields,"Chew, Weng C"
ECE-453,2018-sp,Wireless Communication Systems,"Franke, Steven J"
ECE-450,2011-sp,"Lines, Fields, and Waves","Kudeki, Erhan"
ECE-518,2017-fa,Adv Semiconductor Nanotech,"Li, Xiuling"
ECE-456,2016-fa,Global Nav Satellite Systems,"Gao, Xingxin"
ECE-457,2017-sp,Microwave Devices & Circuits,"Gong, Songbin"
ECE-454,2018-sp,Antennas,"Kudeki, Erhan"
ECE-455,2018-fa,Optical Electronics,"Eden, James G"
ECE-554,2015-sp,Dynamic System Reliability,"Dominguez-Garci, Alejandr"
ECE-439,2017-fa,Wireless Networks,"Roy Choudhury, Romit"
ECE-342,2018-fa,Electronic Circuits,"Zhou, Jin"
ECE-435,2018-fa,Computer Networking Laboratory,"Caesar, Matthew C"
ECE-340,2018-fa,Semiconductor Electronics,"Dallesasse, John M"
ECE-437,2018-fa,Sensors and Instrumentation,"Gruev, Viktor"
ECE-430,2011-sp,Power Ckts & Electromechanics,"Bazzi, Ali M"
ECE-431,2018-sp,Electric Machinery,"Haran, Kiruba S"
CS-450,2018-fa,Numerical Analysis,"Solomonik, Edgar V"
CS-210,2018-fa,Ethical & Professional Issues,"Cunningham, Ryan M"
CS-457,2011-sp,Numerical Methods II,"Gropp, William D"
CS-511,2017-sp,Advanced Data Management,"Chang, Kevin C"
CS-510,2018-fa,Advanced Information Retrieval,"Zhai, Chengxiang"
CS-105,2018-fa,Intro Computing: Non-Tech,"Harris, Albert F"
CS-100,2018-fa,Freshman Orientation,"Gunter, Elsa"
CS-101,2018-fa,Intro Computing: Engrg & Sci,"Davis, Neal E"
CS-232,2011-fa,Computer Architecture II,"Zilles, Craig"
CS-583,2018-sp,Approximation Algorithms,"Chekuri, Chandra S"
ECE-508,2017-sp,Manycore Parallel Algorithms,"Hwu, Wen-Mei W"
CS-426,2016-fa,Compiler Construction,"Adve, Vikram S"
